Datetime,EKPC
2013-11-24,1943.9583333333333
2013-11-25,1895.25
2013-11-26,1796.4583333333333
2013-11-27,1960.9583333333333
2013-11-28,1913.125
2013-11-29,1747.2916666666667
2013-11-30,1663.4583333333333
2013-12-01,1558.4583333333333
2013-12-02,1489.3333333333333
2013-12-03,1403.375
2013-12-04,1253.6666666666667
2013-12-05,1284.5416666666667
2013-12-06,1797.4166666666667
2013-12-07,1953.125
2013-12-08,1927.5833333333333
2013-12-09,1841.7916666666667
2013-12-10,1980.5833333333333
2013-12-11,2016.0416666666667
2013-12-12,2082.1666666666665
2013-12-13,1959.5833333333333
2013-12-14,1676.125
2013-12-15,1912.5416666666667
2013-12-16,1838.5833333333333
2013-12-17,1761.7916666666667
2013-12-18,1817.4166666666667
2013-12-19,1637.125
2013-12-20,1407.6666666666667
2013-12-21,1191.4583333333333
2013-12-22,1164.0833333333333
2013-12-23,1614.4166666666667
2013-12-24,1835.1666666666667
2013-12-25,1823.5
2013-12-26,1642.125
2013-12-27,1768.875
2013-12-28,1675.875
2013-12-29,1514.7916666666667
2013-12-30,1853.2083333333333
2013-12-31,1892.1666666666667
2014-01-01,1723.75
2014-01-02,1958.4166666666667
2014-01-03,2391.9583333333335
2014-01-04,2079.125
2014-01-05,1662.2083333333333
2014-01-06,2760.9166666666665
2014-01-07,2987.2083333333335
2014-01-08,2404.25
2014-01-09,1896.75
2014-01-10,1611.8333333333333
2014-01-11,1435.7916666666667
2014-01-12,1600.2083333333333
2014-01-13,1627.125
2014-01-14,1534.875
2014-01-15,1897.7916666666667
2014-01-16,2124.0416666666665
2014-01-17,2077.5416666666665
2014-01-18,2161.7083333333335
2014-01-19,1791.875
2014-01-20,1687.2083333333333
2014-01-21,2131.25
2014-01-22,2655.2916666666665
2014-01-23,2638.625
2014-01-24,2824.75
2014-01-25,2297.7916666666665
2014-01-26,2051.8333333333335
2014-01-27,2135.4166666666665
2014-01-28,2773.7916666666665
2014-01-29,2737.5833333333335
2014-01-30,2450.0416666666665
2014-01-31,1905.25
2014-02-01,1487.125
2014-02-02,1585.2916666666667
2014-02-03,1984.0
2014-02-04,2047.375
2014-02-05,2029.5416666666667
2014-02-06,2131.875
2014-02-07,2308.8333333333335
2014-02-08,2120.2083333333335
2014-02-09,1957.5416666666667
2014-02-10,2171.9166666666665
2014-02-11,2345.5416666666665
2014-02-12,2245.75
2014-02-13,1918.6666666666667
2014-02-14,1811.25
2014-02-15,2037.0416666666667
2014-02-16,1888.7916666666667
2014-02-17,1925.0833333333333
2014-02-18,1599.9583333333333
2014-02-19,1321.0416666666667
2014-02-20,1369.7083333333333
2014-02-21,1388.3333333333333
2014-02-22,1468.5
2014-02-23,1455.7083333333333
2014-02-24,1798.8333333333333
2014-02-25,1807.9166666666667
2014-02-26,2000.4166666666667
2014-02-27,2124.7083333333335
2014-02-28,1989.5
2014-03-01,1505.7916666666667
2014-03-02,1619.0833333333333
2014-03-03,2255.875
2014-03-04,2235.0
2014-03-05,1878.3333333333333
2014-03-06,1802.5
2014-03-07,1578.25
2014-03-08,1438.875
2014-03-09,1410.5652173913043
2014-03-10,1477.25
2014-03-11,1279.75
2014-03-12,1392.625
2014-03-13,1775.2083333333333
2014-03-14,1550.3333333333333
2014-03-15,1241.75
2014-03-16,1592.7083333333333
2014-03-17,1863.0
2014-03-18,1557.75
2014-03-19,1346.2916666666667
2014-03-20,1418.2083333333333
2014-03-21,1357.0
2014-03-22,1204.0833333333333
2014-03-23,1418.2083333333333
2014-03-24,1678.125
2014-03-25,1783.0
2014-03-26,1800.7916666666667
2014-03-27,1610.4583333333333
2014-03-28,1233.2083333333333
2014-03-29,1370.9166666666667
2014-03-30,1450.9583333333333
2014-03-31,1396.9166666666667
2014-04-01,1172.8333333333333
2014-04-02,1151.0
2014-04-03,1145.625
2014-04-04,1152.8333333333333
2014-04-05,1278.9583333333333
2014-04-06,1272.375
2014-04-07,1227.875
2014-04-08,1262.4583333333333
2014-04-09,1194.75
2014-04-10,1249.7083333333333
2014-04-11,1085.9166666666667
2014-04-12,1080.25
2014-04-13,1063.0
2014-04-14,1142.3333333333333
2014-04-15,1422.7083333333333
2014-04-16,1551.9166666666667
2014-04-17,1335.5416666666667
2014-04-18,1134.4583333333333
2014-04-19,1085.2916666666667
2014-04-20,1083.4166666666667
2014-04-21,1152.8333333333333
2014-04-22,1147.1666666666667
2014-04-23,1126.0416666666667
2014-04-24,1217.0416666666667
2014-04-25,1126.75
2014-04-26,1110.2083333333333
2014-04-27,1105.75
2014-04-28,1145.5
2014-04-29,1161.625
2014-04-30,1151.8333333333333
2014-05-01,1178.2083333333333
2014-05-02,1168.5833333333333
2014-05-03,1139.9583333333333
2014-05-04,1117.2916666666667
2014-05-05,1205.875
2014-05-06,1239.4166666666667
2014-05-07,1232.2083333333333
2014-05-08,1310.25
2014-05-09,1209.0
2014-05-10,1131.0416666666667
2014-05-11,1185.5833333333333
2014-05-12,1405.625
2014-05-13,1426.5416666666667
2014-05-14,1303.2083333333333
2014-05-15,1164.3333333333333
2014-05-16,1190.375
2014-05-17,1172.0
2014-05-18,1149.9166666666667
2014-05-19,1198.7916666666667
2014-05-20,1226.875
2014-05-21,1223.375
2014-05-22,1345.9166666666667
2014-05-23,1229.6666666666667
2014-05-24,1160.3333333333333
2014-05-25,1134.5
2014-05-26,1280.625
2014-05-27,1436.75
2014-05-28,1411.4166666666667
2014-05-29,1412.2083333333333
2014-05-30,1425.4583333333333
2014-05-31,1321.7916666666667
2014-06-01,1339.375
2014-06-02,1404.9166666666667
2014-06-03,1440.5833333333333
2014-06-04,1407.2916666666667
2014-06-05,1310.7083333333333
2014-06-06,1336.0416666666667
2014-06-07,1295.9583333333333
2014-06-08,1217.6666666666667
2014-06-09,1233.3333333333333
2014-06-10,1338.0
2014-06-11,1292.2916666666667
2014-06-12,1347.7916666666667
2014-06-13,1302.5
2014-06-14,1208.9166666666667
2014-06-15,1321.75
2014-06-16,1572.125
2014-06-17,1639.875
2014-06-18,1645.4166666666667
2014-06-19,1686.125
2014-06-20,1581.2083333333333
2014-06-21,1508.5
2014-06-22,1519.4583333333333
2014-06-23,1651.6666666666667
2014-06-24,1564.3333333333333
2014-06-25,1533.75
2014-06-26,1570.7083333333333
2014-06-27,1587.8333333333333
2014-06-28,1454.5833333333333
2014-06-29,1456.5833333333333
2014-06-30,1572.5416666666667
2014-07-01,1703.9583333333333
2014-07-02,1569.9583333333333
2014-07-03,1354.7916666666667
2014-07-04,1197.7083333333333
2014-07-05,1226.75
2014-07-06,1351.4583333333333
2014-07-07,1551.3333333333333
2014-07-08,1575.875
2014-07-09,1509.25
2014-07-10,1486.4583333333333
2014-07-11,1535.25
2014-07-12,1506.2916666666667
2014-07-13,1619.1666666666667
2014-07-14,1571.625
2014-07-15,1409.0416666666667
2014-07-16,1267.375
2014-07-17,1289.2083333333333
2014-07-18,1190.4166666666667
2014-07-19,1179.875
2014-07-20,1347.4583333333333
2014-07-21,1577.2083333333333
2014-07-22,1683.75
2014-07-23,1607.25
2014-07-24,1413.0416666666667
2014-07-25,1344.2083333333333
2014-07-26,1426.4166666666667
2014-07-27,1385.5
2014-07-28,1341.3333333333333
2014-07-29,1223.0
2014-07-30,1294.4166666666667
2014-07-31,1396.0416666666667
2014-08-01,1427.4166666666667
2014-08-02,1380.5416666666667
2014-08-03,1348.125
2014-08-04,1465.7083333333333
2014-08-05,1479.625
2014-08-06,1508.4166666666667
2014-08-07,1472.375
2014-08-08,1342.0833333333333
2014-08-09,1386.0416666666667
2014-08-10,1444.8333333333333
2014-08-11,1480.375
2014-08-12,1454.625
2014-08-13,1306.4583333333333
2014-08-14,1363.4166666666667
2014-08-15,1349.4166666666667
2014-08-16,1294.75
2014-08-17,1290.5
2014-08-18,1442.6666666666667
2014-08-19,1558.7083333333333
2014-08-20,1524.2916666666667
2014-08-21,1555.75
2014-08-22,1664.375
2014-08-23,1626.4166666666667
2014-08-24,1596.1666666666667
2014-08-25,1663.9166666666667
2014-08-26,1636.3333333333333
2014-08-27,1601.0833333333333
2014-08-28,1610.2916666666667
2014-08-29,1604.5
2014-08-30,1423.2916666666667
2014-08-31,1340.7916666666667
2014-09-01,1516.0833333333333
2014-09-02,1538.875
2014-09-03,1507.8333333333333
2014-09-04,1579.5416666666667
2014-09-05,1608.625
2014-09-06,1522.9166666666667
2014-09-07,1249.0833333333333
2014-09-08,1338.5
2014-09-09,1419.0416666666667
2014-09-10,1432.7916666666667
2014-09-11,1395.4583333333333
2014-09-12,1180.875
2014-09-13,1096.2916666666667
2014-09-14,1082.75
2014-09-15,1162.7916666666667
2014-09-16,1070.125
2014-09-17,1046.4166666666667
2014-09-18,1061.0833333333333
2014-09-19,1064.8333333333333
2014-09-20,1100.375
2014-09-21,1103.625
2014-09-22,1029.5833333333333
2014-09-23,1043.0
2014-09-24,1118.1666666666667
2014-09-25,1195.9583333333333
2014-09-26,1208.8333333333333
2014-09-27,1228.9583333333333
2014-09-28,1210.0416666666667
2014-09-29,1309.1666666666667
2014-09-30,1280.0
2014-10-01,1246.375
2014-10-02,1299.8333333333333
2014-10-03,1205.75
2014-10-04,1079.625
2014-10-05,1185.1666666666667
2014-10-06,1180.3333333333333
2014-10-07,1179.4583333333333
2014-10-08,1098.9166666666667
2014-10-09,1164.8333333333333
2014-10-10,1161.875
2014-10-11,1133.0833333333333
2014-10-12,1120.4583333333333
2014-10-13,1194.875
2014-10-14,1171.8333333333333
2014-10-15,1160.5
2014-10-16,1176.5416666666667
2014-10-17,1194.9583333333333
2014-10-18,1143.0
2014-10-19,1164.0833333333333
2014-10-20,1277.0833333333333
2014-10-21,1257.25
2014-10-22,1255.25
2014-10-23,1276.875
2014-10-24,1253.7083333333333
2014-10-25,1202.8333333333333
2014-10-26,1112.0416666666667
2014-10-27,1223.1666666666667
2014-10-28,1180.5416666666667
2014-10-29,1196.25
2014-10-30,1332.625
2014-10-31,1442.2916666666667
2014-11-01,1639.5416666666667
2014-11-02,1567.68
2014-11-03,1476.6666666666667
2014-11-04,1335.9583333333333
2014-11-05,1230.25
2014-11-06,1344.5833333333333
2014-11-07,1463.5
2014-11-08,1486.2083333333333
2014-11-09,1324.4166666666667
2014-11-10,1404.5
2014-11-11,1290.5833333333333
2014-11-12,1587.5416666666667
2014-11-13,1825.25
2014-11-14,1945.1666666666667
2014-11-15,1923.9583333333333
2014-11-16,1651.5
2014-11-17,1881.625
2014-11-18,2244.125
2014-11-19,2006.9583333333333
2014-11-20,1763.7916666666667
2014-11-21,1906.4166666666667
2014-11-22,1574.5833333333333
2014-11-23,1364.0
2014-11-24,1294.2916666666667
2014-11-25,1547.125
2014-11-26,1642.9166666666667
2014-11-27,1744.5833333333333
2014-11-28,1766.0
2014-11-29,1556.375
2014-11-30,1228.0
2014-12-01,1408.1666666666667
2014-12-02,1624.7083333333333
2014-12-03,1572.1666666666667
2014-12-04,1789.5
2014-12-05,1443.75
2014-12-06,1408.875
2014-12-07,1572.0833333333333
2014-12-08,1652.6666666666667
2014-12-09,1661.2916666666667
2014-12-10,1747.9166666666667
2014-12-11,1761.0416666666667
2014-12-12,1854.6666666666667
2014-12-13,1683.75
2014-12-14,1542.75
2014-12-15,1542.7916666666667
2014-12-16,1516.375
2014-12-17,1723.4166666666667
2014-12-18,1916.5833333333333
2014-12-19,1842.1666666666667
2014-12-20,1833.4166666666667
2014-12-21,1818.2916666666667
2014-12-22,1593.9166666666667
2014-12-23,1377.9166666666667
2014-12-24,1217.0833333333333
2014-12-25,1401.625
2014-12-26,1526.0
2014-12-27,1371.3333333333333
2014-12-28,1467.4166666666667
2014-12-29,1713.4583333333333
2014-12-30,1830.9166666666667
2014-12-31,1979.125
2015-01-01,1872.2083333333333
2015-01-02,1569.3333333333333
2015-01-03,1414.6666666666667
2015-01-04,1395.2083333333333
2015-01-05,2015.9583333333333
2015-01-06,1964.3333333333333
2015-01-07,2405.3333333333335
2015-01-08,2723.1666666666665
2015-01-09,2197.4166666666665
2015-01-10,2357.9166666666665
2015-01-11,1987.5833333333333
2015-01-12,1724.2083333333333
2015-01-13,2019.2916666666667
2015-01-14,1977.9166666666667
2015-01-15,1921.1666666666667
2015-01-16,1797.625
2015-01-17,1691.9583333333333
2015-01-18,1500.25
2015-01-19,1647.7083333333333
2015-01-20,1485.25
2015-01-21,1457.2916666666667
2015-01-22,1750.8333333333333
2015-01-23,1824.25
2015-01-24,1787.1666666666667
2015-01-25,1673.5
2015-01-26,1896.2916666666667
2015-01-27,1905.5
2015-01-28,1937.5
2015-01-29,1686.5833333333333
2015-01-30,1806.7916666666667
2015-01-31,1903.4583333333333
2015-02-01,1644.4583333333333
2015-02-02,1960.25
2015-02-03,1868.0833333333333
2015-02-04,1644.7083333333333
2015-02-05,1904.2916666666667
2015-02-06,2107.1666666666665
2015-02-07,1591.1666666666667
2015-02-08,1368.875
2015-02-09,1517.4166666666667
2015-02-10,1896.875
2015-02-11,1836.0
2015-02-12,1994.375
2015-02-13,2068.8333333333335
2015-02-14,2009.9583333333333
2015-02-15,2386.4583333333335
2015-02-16,2422.0416666666665
2015-02-17,2357.3333333333335
2015-02-18,2483.5416666666665
2015-02-19,2931.7916666666665
2015-02-20,2876.25
2015-02-21,2079.9166666666665
2015-02-22,1896.7083333333333
2015-02-23,2175.0833333333335
2015-02-24,2292.4583333333335
2015-02-25,1980.25
2015-02-26,1937.0
2015-02-27,2218.1666666666665
2015-02-28,2051.375
2015-03-01,1739.25
2015-03-02,1755.25
2015-03-03,1623.4166666666667
2015-03-04,1527.7083333333333
2015-03-05,2138.4166666666665
2015-03-06,2324.5833333333335
2015-03-07,1915.5416666666667
2015-03-08,1569.2173913043478
2015-03-09,1475.4583333333333
2015-03-10,1376.2916666666667
2015-03-11,1210.9583333333333
2015-03-12,1264.4166666666667
2015-03-13,1297.2916666666667
2015-03-14,1264.75
2015-03-15,1252.0
2015-03-16,1254.125
2015-03-17,1197.375
2015-03-18,1434.5416666666667
2015-03-19,1497.625
2015-03-20,1441.7083333333333
2015-03-21,1277.625
2015-03-22,1239.8333333333333
2015-03-23,1370.8333333333333
2015-03-24,1402.75
2015-03-25,1258.75
2015-03-26,1260.4583333333333
2015-03-27,1575.5
2015-03-28,1678.75
2015-03-29,1628.0833333333333
2015-03-30,1276.625
2015-03-31,1278.9166666666667
2015-04-01,1153.625
2015-04-02,1183.625
2015-04-03,1120.8333333333333
2015-04-04,1208.0833333333333
2015-04-05,1248.625
2015-04-06,1190.5833333333333
2015-04-07,1084.0833333333333
2015-04-08,1041.4583333333333
2015-04-09,1064.2916666666667
2015-04-10,1103.4583333333333
2015-04-11,1122.7916666666667
2015-04-12,1153.2083333333333
2015-04-13,1052.375
2015-04-14,1030.4166666666667
2015-04-15,1041.6666666666667
2015-04-16,1036.5
2015-04-17,1093.625
2015-04-18,1100.9583333333333
2015-04-19,1078.1666666666667
2015-04-20,1127.5
2015-04-21,1196.4583333333333
2015-04-22,1198.875
2015-04-23,1273.875
2015-04-24,1260.0833333333333
2015-04-25,1153.4166666666667
2015-04-26,1130.75
2015-04-27,1222.3333333333333
2015-04-28,1207.5833333333333
2015-04-29,1186.4166666666667
2015-04-30,1180.375
2015-05-01,1199.75
2015-05-02,1108.1666666666667
2015-05-03,1090.5416666666667
2015-05-04,1195.0
2015-05-05,1243.9583333333333
2015-05-06,1237.9166666666667
2015-05-07,1327.5416666666667
2015-05-08,1353.375
2015-05-09,1335.625
2015-05-10,1335.75
2015-05-11,1356.4583333333333
2015-05-12,1209.4583333333333
2015-05-13,1133.7916666666667
2015-05-14,1156.0
2015-05-15,1284.4583333333333
2015-05-16,1212.8333333333333
2015-05-17,1291.0416666666667
2015-05-18,1309.25
2015-05-19,1218.75
2015-05-20,1169.1666666666667
2015-05-21,1131.875
2015-05-22,1156.0833333333333
2015-05-23,1129.7916666666667
2015-05-24,1134.1666666666667
2015-05-25,1230.25
2015-05-26,1250.3333333333333
2015-05-27,1198.9166666666667
2015-05-28,1185.375
2015-05-29,1341.875
2015-05-30,1390.0
2015-05-31,1287.75
2015-06-01,1157.9583333333333
2015-06-02,1138.0833333333333
2015-06-03,1067.0416666666667
2015-06-04,1273.9583333333333
2015-06-05,1363.0416666666667
2015-06-06,1326.0833333333333
2015-06-07,1389.1666666666667
2015-06-08,1368.875
2015-06-09,1313.5
2015-06-10,1378.9166666666667
2015-06-11,1462.2916666666667
2015-06-12,1537.0416666666667
2015-06-13,1519.0833333333333
2015-06-14,1566.4583333333333
2015-06-15,1663.1666666666667
2015-06-16,1619.9166666666667
2015-06-17,1493.2916666666667
2015-06-18,1467.2083333333333
2015-06-19,1377.4583333333333
2015-06-20,1328.7916666666667
2015-06-21,1460.2916666666667
2015-06-22,1590.6666666666667
2015-06-23,1699.875
2015-06-24,1544.75
2015-06-25,1422.6666666666667
2015-06-26,1471.8333333333333
2015-06-27,1275.5416666666667
2015-06-28,1221.875
2015-06-29,1292.7916666666667
2015-06-30,1338.7083333333333
2015-07-01,1300.3333333333333
2015-07-02,1287.375
2015-07-03,1154.625
2015-07-04,1181.25
2015-07-05,1217.4166666666667
2015-07-06,1456.375
2015-07-07,1482.3333333333333
