Datetime,DAYTON_MW
2005-04-08,1886.625
2005-04-09,1600.625
2005-04-10,1527.0
2005-04-11,1905.75
2005-04-12,1933.5833333333333
2005-04-13,1950.3333333333333
2005-04-14,1944.75
2005-04-15,1888.75
2005-04-16,1597.25
2005-04-17,1530.2916666666667
2005-04-18,1942.3333333333333
2005-04-19,1987.125
2005-04-20,1997.125
2005-04-21,1911.875
2005-04-22,1912.9166666666667
2005-04-23,1765.2916666666667
2005-04-24,1824.5416666666667
2005-04-25,2000.0833333333333
2005-04-26,1989.0
2005-04-27,2012.7916666666667
2005-04-28,1986.25
2005-04-29,1926.2916666666667
2005-04-30,1671.125
2005-05-01,1619.8333333333333
2005-05-02,1986.2916666666667
2005-05-03,2031.5833333333333
2005-05-04,1997.875
2005-05-05,1950.2916666666667
2005-05-06,1897.1666666666667
