Datetime,COMED,Estimated_Temp_C
2011-05-05,10389.375,15.424311827956988
2011-05-06,10186.208333333334,15.628639784946236
2011-05-07,9086.208333333334,15.832967741935484
2011-05-08,8523.916666666666,16.03729569892473
2011-05-09,10085.375,16.241623655913976
2011-05-10,11509.0,16.445951612903226
2011-05-11,13231.166666666666,16.650279569892472
2011-05-12,12868.458333333334,16.85460752688172
2011-05-13,11505.208333333334,17.058935483870968
2011-05-14,9286.041666666666,17.263263440860214
2011-05-15,8967.041666666666,17.46759139784946
2011-05-16,10245.208333333334,17.671919354838707
2011-05-17,10364.458333333334,17.876247311827957
2011-05-18,10342.375,18.080575268817203
2011-05-19,10540.5,18.28490322580645
2011-05-20,10707.541666666666,18.4892311827957
2011-05-21,9662.833333333334,18.693559139784945
2011-05-22,9952.208333333334,18.89788709677419
