Datetime,DUQ,Estimated_Temp_C
2009-08-03,1753.5,21.907064516129036
2009-08-04,1849.875,21.778096774193553
2009-08-05,1768.9583333333333,21.64912903225807
2009-08-06,1640.4166666666667,21.520161290322587
2009-08-07,1646.875,21.3911935483871
2009-08-08,1590.8333333333333,21.262225806451617
2009-08-09,1862.0416666666667,21.133258064516134
2009-08-10,2177.5416666666665,21.00429032258065
2009-08-11,1940.3333333333333,20.875322580645165
2009-08-12,1848.375,20.74635483870968
2009-08-13,1870.4166666666667,20.6173870967742
2009-08-14,1963.125,20.488419354838715
2009-08-15,1935.5416666666667,20.35945161290323
2009-08-16,1927.4166666666667,20.230483870967745
2009-08-17,2216.875,20.101516129032262
2009-08-18,2150.958333333333,19.97254838709678
2009-08-19,2023.1666666666667,19.843580645161293
2009-08-20,2017.9166666666667,19.71461290322581
2009-08-21,1957.6666666666667,19.585645161290326
2009-08-22,1697.375,19.456677419354843
2009-08-23,1484.5,19.327709677419357
2009-08-24,1691.875,19.198741935483874
2009-08-25,1792.5833333333333,19.06977419354839
2009-08-26,1892.7916666666667,18.940806451612907
2009-08-27,1885.875,18.81183870967742
2009-08-28,1748.1666666666667,18.682870967741938
2009-08-29,1616.9583333333333,18.553903225806454
2009-08-30,1371.1666666666667,18.424935483870968
2009-08-31,1509.3333333333333,18.295967741935485
2009-09-01,1532.6666666666667,18.167
2009-09-02,1568.9583333333333,17.894833333333334
2009-09-03,1579.1666666666667,17.622666666666667
2009-09-04,1584.5,17.3505
2009-09-05,1486.875,17.078333333333333
2009-09-06,1423.0416666666667,16.80616666666667
2009-09-07,1445.375,16.534000000000002
2009-09-08,1655.0,16.261833333333335
2009-09-09,1681.2916666666667,15.989666666666668
2009-09-10,1627.5416666666667,15.717500000000001
2009-09-11,1506.9583333333333,15.445333333333334
2009-09-12,1382.0,15.173166666666667
2009-09-13,1401.3333333333333,14.901
2009-09-14,1665.6666666666667,14.628833333333334
2009-09-15,1716.7916666666667,14.356666666666667
2009-09-16,1629.8333333333333,14.084500000000002
2009-09-17,1589.7916666666667,13.812333333333335
2009-09-18,1572.7916666666667,13.540166666666668
2009-09-19,1408.5416666666667,13.268
2009-09-20,1404.4583333333333,12.995833333333334
2009-09-21,1697.25,12.723666666666666
2009-09-22,1720.0416666666667,12.4515
2009-09-23,1773.7083333333333,12.179333333333334
2009-09-24,1715.875,11.907166666666667
2009-09-25,1561.7916666666667,11.635
2009-09-26,1389.625,11.362833333333334
2009-09-27,1317.75,11.090666666666667
2009-09-28,1481.875,10.8185
2009-09-29,1488.875,10.546333333333333
2009-09-30,1479.375,10.274166666666666
2009-10-01,1489.9583333333333,10.002
2009-10-02,1491.75,9.938645161290323
2009-10-03,1357.5416666666667,9.875290322580646
2009-10-04,1296.0833333333333,9.811935483870968
2009-10-05,1480.8333333333333,9.74858064516129
2009-10-06,1510.7916666666667,9.685225806451614
2009-10-07,1499.5833333333333,9.621870967741936
2009-10-08,1506.9583333333333,9.558516129032258
2009-10-09,1532.0416666666667,9.495161290322581
2009-10-10,1358.6666666666667,9.431806451612903
2009-10-11,1300.5,9.368451612903225
2009-10-12,1513.0833333333333,9.305096774193549
2009-10-13,1530.875,9.241741935483871
2009-10-14,1574.2916666666667,9.178387096774195
2009-10-15,1592.5416666666667,9.115032258064517
2009-10-16,1575.9166666666667,9.051677419354839
2009-10-17,1470.125,8.988322580645162
2009-10-18,1396.25,8.924967741935484
2009-10-19,1548.0,8.861612903225806
