Datetime,DEOK,Estimated_Temp_C
2012-05-05,2839.0,21.24143548387097
2012-05-06,2813.9166666666665,21.30091935483871
2012-05-07,3254.25,21.360403225806454
2012-05-08,2963.4166666666665,21.419887096774197
2012-05-09,2754.0,21.479370967741936
2012-05-10,2668.708333333333,21.53885483870968
2012-05-11,2658.333333333333,21.59833870967742
2012-05-12,2465.7916666666665,21.657822580645163
2012-05-13,2418.6666666666665,21.717306451612906
2012-05-14,2791.375,21.776790322580645
2012-05-15,2919.083333333333,21.836274193548388
2012-05-16,2968.625,21.89575806451613
2012-05-17,2763.1666666666665,21.955241935483873
2012-05-18,2798.0416666666665,22.014725806451615
2012-05-19,2824.9166666666665,22.074209677419354
2012-05-20,3005.458333333333,22.133693548387097
2012-05-21,3271.0,22.19317741935484
2012-05-22,2954.208333333333,22.252661290322582
