Datetime,DOM,Estimated_Temp_C
2005-09-05,10086.625,19.945104571035607
2005-09-06,10561.875,19.755609622051
2005-09-07,10554.333333333334,19.5661146730664
2005-09-08,10671.083333333334,19.37661972408179
2005-09-09,10816.208333333334,19.18712477509719
2005-09-10,10381.916666666666,18.997629826112583
2005-09-11,9907.708333333334,18.80813487712798
2005-09-12,10817.875,18.618639928143377
2005-09-13,11393.708333333334,18.42914497915877
2005-09-14,12334.083333333334,18.239650030174168
2005-09-15,12758.833333333334,18.050155081189565
2005-09-16,12740.041666666666,17.86066013220496
2005-09-17,11988.583333333334,17.671165183220356
2005-09-18,11240.75,17.48167023423575
2005-09-19,11755.291666666666,17.292175285251147
2005-09-20,12134.583333333334,17.102680336266545
2005-09-21,11359.25,16.91318538728194
2005-09-22,11420.875,16.723690438297336
