Datetime,PJME,Estimated_Temp_C
2002-05-04,24674.041666666668,16.357717822899044
2002-05-05,23602.875,16.52311840101523
2002-05-06,27900.041666666668,16.688518979131416
2002-05-07,29633.625,16.853919557247604
2002-05-08,29679.666666666668,17.01932013536379
2002-05-09,28446.33333333333,17.18472071347998
2002-05-10,28515.45833333333,17.350121291596164
2002-05-11,24581.625,17.51552186971235
2002-05-12,24352.916666666668,17.68092244782854
2002-05-13,29812.5,17.846323025944727
2002-05-14,27954.0,18.011723604060915
2002-05-15,28004.625,18.1771241821771
2002-05-16,28788.5,18.342524760293287
2002-05-17,29706.541666666668,18.507925338409475
2002-05-18,25086.75,18.673325916525663
2002-05-19,23894.916666666668,18.838726494641847
2002-05-20,27747.20833333333,19.004127072758035
2002-05-21,28281.5,19.169527650874223
