Datetime,FE,Estimated_Temp_C
2011-10-07,7259.291666666667,11.220896774193548
2011-10-08,6439.25,11.109412903225806
2011-10-09,6134.583333333333,10.997929032258064
2011-10-10,7151.0,10.886445161290322
2011-10-11,7337.0,10.77496129032258
2011-10-12,7389.083333333333,10.663477419354837
2011-10-13,7411.291666666667,10.551993548387097
2011-10-14,7040.958333333333,10.440509677419355
2011-10-15,6385.583333333333,10.329025806451613
2011-10-16,6216.791666666667,10.21754193548387
2011-10-17,7175.416666666667,10.106058064516128
2011-10-18,7441.25,9.994574193548386
2011-10-19,7564.125,9.883090322580646
2011-10-20,7664.875,9.771606451612904
2011-10-21,7573.333333333333,9.660122580645162
2011-10-22,6596.583333333333,9.54863870967742
2011-10-23,6318.083333333333,9.437154838709677
2011-10-24,7285.833333333333,9.325670967741935
2011-10-25,7433.833333333333,9.214187096774193
2011-10-26,7352.916666666667,9.10270322580645
2011-10-27,7581.166666666667,8.991219354838709
2011-10-28,7599.125,8.879735483870967
2011-10-29,6770.458333333333,8.768251612903226
2011-10-30,6497.916666666667,8.656767741935484
2011-10-31,7499.416666666667,8.545283870967742
2011-11-01,7558.458333333333,8.4338
2011-11-02,7412.25,8.255873333333334
2011-11-03,7353.541666666667,8.077946666666666
2011-11-04,7281.0,7.90002
2011-11-05,6702.75,7.7220933333333335
2011-11-06,6404.739130434783,7.5441666666666665
2011-11-07,7284.875,7.3662399999999995
2011-11-08,7226.666666666667,7.188313333333333
2011-11-09,7322.25,7.010386666666666
2011-11-10,7523.708333333333,6.83246
2011-11-11,7697.083333333333,6.654533333333333
2011-11-12,6784.041666666667,6.476606666666667
2011-11-13,6368.208333333333,6.29868
2011-11-14,7248.125,6.120753333333333
2011-11-15,7414.416666666667,5.942826666666667
2011-11-16,7620.291666666667,5.7649
2011-11-17,8102.5,5.586973333333333
2011-11-18,8053.458333333333,5.409046666666667
2011-11-19,7055.625,5.231120000000001
2011-11-20,6448.25,5.053193333333333
2011-11-21,7696.166666666667,4.875266666666667
2011-11-22,7934.75,4.6973400000000005
