Datetime,DAYTON,Estimated_Temp_C
2016-01-08,2061.7916666666665,-1.0224256673186378
2016-01-09,1722.9166666666667,-0.9721964171854504
2016-01-10,1917.8333333333333,-0.9219671670522628
2016-01-11,2512.625,-0.8717379169190753
2016-01-12,2433.708333333333,-0.8215086667858879
2016-01-13,2591.708333333333,-0.7712794166527003
2016-01-14,2234.75,-0.7210501665195128
2016-01-15,2076.4166666666665,-0.6708209163863252
2016-01-16,1996.5833333333333,-0.6205916662531378
2016-01-17,2098.375,-0.5703624161199502
2016-01-18,2645.7916666666665,-0.5201331659867626
2016-01-19,2591.083333333333,-0.4699039158535751
2016-01-20,2524.583333333333,-0.4196746657203876
2016-01-21,2449.958333333333,-0.3694454155872
2016-01-22,2404.625,-0.3192161654540126
2016-01-23,2147.0416666666665,-0.2689869153208251
2016-01-24,2057.1666666666665,-0.2187576651876375
2016-01-25,2190.6666666666665,-0.1685284150544499
2016-01-26,2168.333333333333,-0.1182991649212623
2016-01-27,2293.583333333333,-0.068069914788075
2016-01-28,2193.458333333333,-0.0178406646548874
2016-01-29,2117.7916666666665,0.0323885854783001
2016-01-30,1807.7083333333333,0.0826178356114877
2016-01-31,1625.0416666666667,0.132847085744675
2016-02-01,1934.2916666666667,0.1830763358778626
2016-02-02,2062.9166666666665,0.3598291453107961
2016-02-03,1904.3333333333333,0.5365819547437296
2016-02-04,2199.583333333333,0.7133347641766632
2016-02-05,2174.1666666666665,0.8900875736095966
2016-02-06,1926.0,1.06684038304253
2016-02-07,1787.75,1.2435931924754635
2016-02-08,2072.125,1.420346001908397
2016-02-09,2348.208333333333,1.5970988113413307
2016-02-10,2494.333333333333,1.7738516207742645
2016-02-11,2496.5416666666665,1.9506044302071976
2016-02-12,2438.583333333333,2.1273572396401312
2016-02-13,2285.9166666666665,2.304110049073065
2016-02-14,2266.5416666666665,2.4808628585059984
2016-02-15,2331.75,2.657615667938932
2016-02-16,2238.583333333333,2.834368477371865
2016-02-17,2211.6666666666665,3.0111212868047987
2016-02-18,2162.708333333333,3.1878740962377323
2016-02-19,1999.1666666666667,3.364626905670666
2016-02-20,1613.0,3.541379715103599
2016-02-21,1581.6666666666667,3.7181325245365326
2016-02-22,1991.75,3.894885333969466
2016-02-23,2044.7083333333333,4.071638143402399
2016-02-24,2081.25,4.248390952835333
2016-02-25,2231.9166666666665,4.425143762268267
2016-02-26,2195.583333333333,4.6018965717012
2016-02-27,1821.8333333333333,4.778649381134134
2016-02-28,1640.3333333333333,4.955402190567066
2016-02-29,1930.7083333333333,5.132155
2016-03-01,2074.6666666666665,4.4753870967741936
2016-03-02,2218.0416666666665,4.695222341696535
2016-03-03,2242.25,4.915057586618877
2016-03-04,2159.208333333333,5.134892831541219
2016-03-05,1928.25,5.3547280764635605
2016-03-06,1756.25,5.574563321385902
2016-03-07,1939.6666666666667,5.794398566308244
2016-03-08,1855.9166666666667,6.014233811230586
2016-03-09,1809.9583333333333,6.234069056152928
2016-03-10,1849.4166666666667,6.453904301075269
2016-03-11,1825.6666666666667,6.673739545997611
2016-03-12,1622.0,6.893574790919953
2016-03-13,1547.5652173913045,7.113410035842294
2016-03-14,1822.625,7.333245280764635
2016-03-15,1827.3333333333333,7.553080525686977
2016-03-16,1805.625,7.772915770609319
2016-03-17,1842.9583333333333,7.992751015531661
2016-03-18,1835.6666666666667,8.212586260454003
2016-03-19,1709.875,8.432421505376343
2016-03-20,1716.5833333333333,8.652256750298687
2016-03-21,1985.25,8.872091995221027
2016-03-22,1930.2083333333333,9.09192724014337
2016-03-23,1835.4583333333333,9.31176248506571
2016-03-24,1792.0416666666667,9.531597729988054
2016-03-25,1712.3333333333333,9.751432974910394
2016-03-26,1589.6666666666667,9.971268219832735
2016-03-27,1459.2083333333333,10.191103464755075
2016-03-28,1820.3333333333333,10.41093870967742
2016-03-29,1887.5833333333333,10.63077395459976
2016-03-30,1869.8333333333333,10.850609199522102
2016-03-31,1819.5833333333333,11.070444444444444
2016-04-01,1751.5,10.951435483870968
2016-04-02,1694.25,11.152692106876122
2016-04-03,1696.5416666666667,11.353948729881274
2016-04-04,1925.7916666666667,11.555205352886428
2016-04-05,2021.7083333333333,11.75646197589158
2016-04-06,1980.75,11.957718598896736
2016-04-07,1994.75,12.158975221901889
2016-04-08,2055.208333333333,12.36023184490704
2016-04-09,1881.25,12.561488467912191
2016-04-10,1766.7083333333333,12.762745090917347
2016-04-11,1906.9583333333333,12.9640017139225
2016-04-12,1937.9166666666667,13.165258336927652
2016-04-13,1922.0416666666667,13.366514959932807
2016-04-14,1876.625,13.56777158293796
2016-04-15,1795.1666666666667,13.769028205943114
2016-04-16,1519.8333333333333,13.970284828948266
2016-04-17,1490.0,14.17154145195342
2016-04-18,1849.4166666666667,14.372798074958572
2016-04-19,1832.125,14.574054697963726
