Datetime,PJMW,Estimated_Temp_C
2002-08-07,5385.166666666667,23.77567618306861
2002-08-08,5432.916666666667,23.66801851645653
2002-08-09,5581.25,23.560360849844447
2002-08-10,5477.083333333333,23.45270318323236
2002-08-11,5664.708333333333,23.345045516620274
2002-08-12,6529.958333333333,23.23738785000819
2002-08-13,6608.541666666667,23.129730183396106
2002-08-14,6859.0,23.02207251678402
2002-08-15,6762.208333333333,22.914414850171937
2002-08-16,6549.166666666667,22.806757183559853
2002-08-17,6057.458333333333,22.69909951694777
2002-08-18,5960.208333333333,22.591441850335684
2002-08-19,6518.0,22.4837841837236
2002-08-20,6338.125,22.37612651711152
2002-08-21,6157.541666666667,22.26846885049943
2002-08-22,6558.041666666667,22.160811183887347
2002-08-23,6567.958333333333,22.053153517275263
2002-08-24,5901.458333333333,21.94549585066318
